3, 5, 13, 16, 18, 22, 26, 28, 30, 32, 36, 37, 41, 53, 54, 60, 62, 64, 68, 69
3, 4, 11, 14, 16, 18, 19, 20, 24, 27, 29, 35, 41, 44, 54, 57, 61, 66, 67, 68
2, 3, 6, 8, 10, 14, 18, 23, 26, 31, 33, 36, 39, 40, 45, 46, 51, 53, 59, 60
1, 7, 8, 11, 23, 31, 32, 34, 38, 45, 48, 49, 52, 57, 58, 61, 62, 64, 65, 67
3, 7, 11, 17, 18, 20, 21, 23, 25, 30, 34, 37, 42, 45, 47, 52, 54, 57, 65, 68
4, 9, 17, 18, 19, 25, 30, 36, 43, 44, 45, 49, 50, 51, 52, 53, 56, 60, 64, 66
19, 20, 22, 27, 28, 29, 30, 34, 36, 41, 43, 48, 49, 56, 58, 60, 61, 64, 67, 70
4, 5, 8, 10, 11, 12, 13, 15, 17, 19, 20, 23, 27, 29, 31, 44, 47, 56, 61, 70
2, 3, 5, 6, 7, 8, 10, 24, 25, 28, 31, 35, 39, 49, 52, 54, 60, 63, 64, 69
3, 5, 7, 19, 22, 25, 30, 31, 32, 39, 47, 48, 53, 57, 60, 61, 63, 64, 65, 68
1, 7, 8, 10, 18, 23, 25, 26, 27, 29, 42, 43, 44, 46, 50, 54, 59, 62, 67, 69
3, 5, 8, 12, 15, 17, 20, 27, 30, 35, 38, 40, 44, 51, 54, 57, 58, 62, 65, 69
5, 9, 10, 14, 22, 25, 31, 33, 35, 40, 44, 45, 50, 56, 57, 60, 67, 68, 69, 70
3, 4, 5, 6, 13, 22, 23, 25, 26, 27, 30, 31, 35, 39, 43, 47, 51, 53, 54, 57
1, 5, 6, 7, 8, 13, 17, 22, 23, 26, 28, 29, 34, 35, 38, 40, 49, 51, 52, 62
3, 6, 21, 25, 26, 30, 34, 35, 37, 46, 48, 52, 53, 56, 57, 58, 59, 62, 64, 65
3, 7, 8, 15, 16, 24, 37, 40, 44, 47, 48, 51, 53, 55, 57, 58, 61, 62, 68, 69
1, 8, 9, 20, 21, 22, 23, 29, 33, 39, 40, 45, 47, 48, 50, 51, 53, 58, 59, 62
1, 6, 8, 17, 20, 21, 23, 26, 28, 30, 34, 37, 39, 46, 48, 51, 57, 61, 65, 67
5, 7, 10, 20, 22, 23, 24, 25, 29, 31, 37, 43, 48, 52, 53, 54, 59, 61, 64, 67
2, 12, 14, 15, 17, 18, 22, 29, 36, 37, 41, 44, 45, 46, 49, 50, 60, 63, 64, 65
1, 7, 12, 14, 15, 16, 23, 28, 29, 36, 38, 44, 54, 55, 57, 58, 65, 68, 69, 70
7, 9, 13, 14, 15, 29, 30, 34, 36, 39, 48, 50, 54, 55, 58, 59, 62, 63, 66, 68
1, 3, 4, 6, 7, 14, 15, 17, 36, 37, 39, 45, 50, 56, 57, 59, 60, 61, 64, 69
3, 4, 13, 15, 17, 20, 22, 26, 32, 34, 37, 38, 45, 48, 50, 56, 59, 63, 66, 67
3, 15, 16, 21, 22, 26, 29, 30, 33, 35, 38, 43, 46, 47, 49, 51, 53, 54, 63, 66
1, 7, 8, 9, 10, 16, 17, 24, 26, 28, 30, 34, 37, 41, 42, 43, 54, 55, 64, 67
5, 7, 8, 9, 10, 12, 13, 14, 19, 25, 26, 29, 32, 34, 35, 43, 46, 51, 69, 70
3, 4, 5, 9, 15, 19, 26, 33, 34, 35, 36, 44, 45, 49, 51, 55, 58, 62, 66, 69
2, 5, 10, 18, 27, 31, 33, 34, 35, 36, 39, 43, 46, 50, 57, 62, 64, 65, 68, 69
3, 6, 9, 17, 19, 25, 27, 29, 30, 31, 34, 43, 46, 48, 52, 54, 55, 58, 64, 66
7, 8, 12, 13, 22, 23, 28, 29, 36, 40, 44, 49, 52, 53, 60, 61, 62, 64, 65, 68
4, 7, 14, 16, 18, 20, 22, 23, 24, 28, 33, 35, 36, 39, 41, 48, 57, 59, 60, 63
4, 5, 18, 25, 26, 28, 37, 38, 40, 43, 44, 46, 48, 49, 55, 59, 61, 64, 65, 67
1, 3, 9, 13, 15, 21, 23, 24, 25, 27, 29, 35, 38, 42, 52, 54, 59, 63, 66, 70
5, 6, 9, 14, 15, 17, 18, 25, 27, 29, 31, 34, 38, 40, 42, 45, 53, 61, 68, 69
2, 3, 4, 5, 7, 11, 13, 14, 15, 18, 19, 20, 21, 24, 26, 46, 51, 58, 62, 70
3, 5, 8, 10, 13, 15, 16, 22, 25, 27, 29, 31, 35, 39, 43, 46, 50, 64, 68, 70
4, 9, 12, 14, 15, 20, 30, 32, 34, 36, 42, 44, 48, 49, 50, 53, 55, 56, 64, 66
5, 11, 15, 16, 20, 21, 23, 25, 32, 34, 36, 38, 39, 42, 49, 51, 52, 54, 56, 70
1, 3, 9, 12, 13, 14, 18, 21, 30, 31, 34, 36, 37, 42, 44, 52, 54, 59, 66, 69
2, 3, 10, 12, 14, 19, 21, 23, 27, 29, 30, 35, 36, 45, 47, 52, 53, 56, 57, 65
3, 5, 6, 9, 12, 13, 19, 21, 22, 32, 40, 43, 46, 48, 51, 52, 60, 61, 63, 64
3, 4, 8, 11, 14, 18, 21, 24, 28, 29, 30, 38, 39, 43, 45, 53, 57, 60, 67, 69
5, 6, 7, 14, 15, 19, 21, 32, 34, 40, 42, 43, 45, 46, 50, 56, 61, 62, 65, 69
1, 4, 8, 10, 12, 18, 22, 27, 28, 29, 32, 35, 42, 44, 46, 52, 59, 62, 64, 65
1, 2, 4, 7, 10, 12, 21, 22, 25, 30, 31, 32, 33, 44, 46, 49, 50, 60, 62, 67
1, 5, 6, 8, 10, 11, 13, 19, 22, 24, 25, 26, 30, 39, 48, 55, 63, 65, 67, 69
7, 14, 18, 20, 25, 26, 29, 32, 33, 35, 36, 37, 38, 44, 56, 57, 58, 59, 60, 68
6, 8, 10, 14, 16, 19, 24, 26, 30, 33, 36, 46, 49, 52, 55, 57, 58, 60, 65, 69
7, 8, 12, 14, 15, 18, 20, 27, 31, 35, 36, 38, 39, 44, 48, 50, 59, 64, 68, 70
3, 4, 10, 19, 26, 28, 30, 34, 38, 40, 41, 43, 44, 45, 46, 52, 54, 59, 62, 67
1, 5, 6, 9, 12, 13, 18, 21, 27, 29, 31, 38, 42, 51, 52, 56, 60, 63, 67, 69
3, 5, 8, 9, 14, 18, 30, 35, 37, 39, 50, 56, 57, 60, 61, 62, 63, 65, 68, 70
2, 4, 6, 11, 12, 14, 20, 27, 29, 35, 38, 43, 46, 47, 61, 63, 65, 66, 67, 68
2, 9, 12, 14, 19, 20, 23, 26, 28, 32, 36, 39, 40, 41, 44, 46, 52, 56, 59, 66
6, 12, 13, 23, 26, 34, 36, 39, 45, 48, 50, 51, 52, 53, 54, 55, 58, 61, 65, 66
2, 3, 15, 21, 22, 24, 25, 29, 31, 32, 34, 35, 38, 47, 49, 52, 54, 55, 56, 59
1, 2, 3, 4, 6, 7, 11, 20, 25, 29, 32, 39, 40, 45, 51, 53, 60, 62, 67, 68
1, 3, 6, 8, 10, 11, 19, 23, 27, 28, 29, 32, 33, 34, 36, 38, 48, 58, 64, 69
1, 2, 4, 6, 9, 14, 16, 17, 18, 21, 23, 24, 28, 31, 40, 54, 57, 65, 66, 68
1, 5, 8, 15, 17, 21, 24, 27, 35, 39, 43, 45, 46, 50, 51, 55, 58, 60, 64, 65
5, 21, 22, 26, 27, 32, 33, 37, 41, 43, 45, 47, 51, 54, 56, 57, 59, 63, 64, 68
7, 8, 11, 15, 16, 20, 22, 27, 31, 32, 36, 37, 42, 44, 47, 50, 56, 57, 61, 65
1, 7, 9, 20, 21, 27, 29, 32, 34, 37, 40, 43, 48, 57, 58, 60, 62, 64, 67, 69
